"Como posso obter um reembolso?"; "Atendimento ao Cliente"
"Meu computador está lento, o que devo fazer?"; "Suporte Técnico"
"Estou tendo problemas para acessar minha conta"; "Suporte Técnico"
"Quero alterar meu plano de assinatura"; "Vendas"
"Como posso atualizar meu endereço de entrega?"; "Atendimento ao Cliente"
"Quero comprar mais armazenamento"; "Vendas"
"Não consigo instalar o software"; "Suporte Técnico"
"Quero cancelar minha assinatura"; "Atendimento ao Cliente"
"Quero saber mais sobre os recursos do produto"; "Vendas"
"Como posso solicitar férias?"; "Recursos Humanos"
"Quero atualizar meus detalhes bancários"; "Recursos Humanos"
"Como posso relatar um problema com um colega de trabalho?"; "Recursos Humanos"
"Quero saber mais sobre os benefícios dos funcionários"; "Recursos Humanos"
"Como faço para pedir demissão?"; "Recursos Humanos"
"Quais são os procedimentos para a demissão?"; "Recursos Humanos"
"Quais são meus direitos ao pedir demissão?"; "Recursos Humanos"
